"","activity","lower","upper"
"1",3439.35933625293,2201.37994865555,4677.33872385032
"2",4049.45363035155,3102.93926833012,4995.96799237298
"3",3701.85710237852,2465.40622164236,4938.30798311467
"4",3068.00981753716,2170.26370844136,3965.75592663295
"5",2471.69638191366,1631.00224068783,3312.39052313948
"6",3279.27671916307,2392.05358582288,4166.49985250326
"7",2435.37713373739,1522.94282942277,3347.81143805201
"8",2958.78807964426,1692.16198441987,4225.41417486864
"9",2855.59491927458,2030.93679985978,3680.25303868939
"10",2743.50197781813,1937.00504986279,3549.99890577347
"11",2594.40256434064,1924.17950965171,3264.62561902958
"12",2906.25753291786,2214.86921834145,3597.64584749426
"13",2612.92176432061,1929.53701175133,3296.30651688989
"14",2909.88300523136,1938.04711001779,3881.71890044494
"15",2648.84701239566,1841.31887459921,3456.3751501921
"16",2884.72010769704,2138.23972753797,3631.20048785611
"17",2673.37487837087,1983.11682821241,3363.63292852934
"18",2562.17318106929,979.42101439158,4144.92534774699
"19",2706.86458828011,1811.52976525688,3602.19941130335
"20",2505.92275604957,1328.69367002816,3683.15184207097
"21",2699.17519306105,1099.86920855695,4298.48117756515
"22",2089.29263226156,1312.78374917275,2865.80151535038
"23",2463.56540177171,1565.13570163681,3361.99510190661
"24",2458.20901366623,1442.99653339102,3473.42149394143
"25",2391.43312456769,1428.43795248902,3354.42829664636
"26",2620.66470411351,1495.34627021602,3745.983138011
"27",2452.96267725934,1529.9541982858,3375.97115623289
"28",2605.15844086665,1683.95082543855,3526.36605629475
"29",3064.25696336148,2219.25276859906,3909.2611581239
"30",2555.52049756148,1468.86383278383,3642.17716233914
"31",2793.41415144831,1548.38268359906,4038.44561929755
"32",2510.3813014899,1283.64371601643,3737.11888696336
"33",2205.75543636868,1436.7299300657,2974.78094267166
"34",2380.86256686674,1263.00843632659,3498.71669740688
"35",2514.6140610757,1518.7767248765,3510.45139727491
"36",2323.05483225811,1335.17680568554,3310.93285883069
"37",2236.16960166634,875.48160727348,3596.85759605921
