"","time","movement","strain"
"176","night",1675.28722093268,"YellowPlakat"
"177","night",2071.20986543407,"YellowPlakat"
"178","night",2097.74392614854,"YellowPlakat"
"179","night",1703.4399249913,"YellowPlakat"
"180","night",1803.61134049068,"YellowPlakat"
"181","night",2036.67175238205,"YellowPlakat"
"182","night",1699.50948699303,"YellowPlakat"
"183","night",3867.61362284435,"YellowPlakat"
"184","night",1905.40529640255,"YellowPlakat"
"185","night",1922.13460236476,"YellowPlakat"
"186","night",1658.62556445829,"YellowPlakat"
"187","night",1306.87712264007,"YellowPlakat"
"188","night",1582.37643029375,"YellowPlakat"
"189","night",1653.25800682737,"YellowPlakat"
"190","night",1448.88730781263,"YellowPlakat"
"191","night",1036.04281484582,"YellowPlakat"
"192","night",1208.18986995735,"YellowPlakat"
"193","night",1044.94468557476,"YellowPlakat"
"194","night",1512.63389844369,"YellowPlakat"
"195","night",1015.20962599542,"YellowPlakat"
"196","night",1455.11132504737,"YellowPlakat"
"197","night",1644.33104688388,"YellowPlakat"
"198","night",1245.26965581738,"YellowPlakat"
"199","night",1258.39452484005,"YellowPlakat"
"200","night",1332.55384946649,"YellowPlakat"
"201","night",1285.42570209257,"YellowPlakat"
"202","night",1568.37276208087,"YellowPlakat"
"203","night",1559.9289222806,"YellowPlakat"
"204","night",1589.25868233839,"YellowPlakat"
"205","night",1294.77595229879,"YellowPlakat"
"206","night",1339.75544137489,"YellowPlakat"
"207","night",1357.96875060629,"YellowPlakat"
"208","night",1447.97721394518,"YellowPlakat"
"209","night",1114.49667692496,"YellowPlakat"
"210","night",2203.31960411099,"YellowPlakat"
"211","night",1836.50240727939,"YellowPlakat"
"212","night",1680.9839626217,"YellowPlakat"
"213","night",1596.83334404559,"YellowPlakat"
"214","night",1233.37092983028,"YellowPlakat"
"215","night",1366.38681774242,"YellowPlakat"
"216","night",1403.70056939913,"YellowPlakat"
"217","night",1679.89420691604,"YellowPlakat"
"218","night",1800.6145187164,"YellowPlakat"
"219","night",1184.38361193024,"YellowPlakat"
"220","night",1511.39223865669,"YellowPlakat"
"221","night",1457.7615049262,"YellowPlakat"
"222","night",1194.64125447475,"YellowPlakat"
"223","night",1583.87188730567,"YellowPlakat"
"224","night",2262.39508198335,"YellowPlakat"
"225","night",4023.83089286661,"YellowPlakat"
"226","day",4540.59761665741,"YellowPlakat"
"227","day",3983.19296755309,"YellowPlakat"
"228","day",5864.90472115709,"YellowPlakat"
"229","day",5820.81031332039,"YellowPlakat"
"230","day",5599.48419607642,"YellowPlakat"
"231","day",7205.56985525107,"YellowPlakat"
"232","day",8652.67445743027,"YellowPlakat"
"233","day",7016.53386333495,"YellowPlakat"
"234","day",7180.09455439486,"YellowPlakat"
"235","day",7146.46206286092,"YellowPlakat"
"236","day",7849.5978412677,"YellowPlakat"
"237","day",6777.70666109444,"YellowPlakat"
"238","day",5736.91338365594,"YellowPlakat"
"239","day",4910.78442776556,"YellowPlakat"
"240","day",4922.36695878178,"YellowPlakat"
"241","day",7450.44156948471,"SuperRed"
"242","day",6799.19628172146,"SuperRed"
"243","day",5567.11508069831,"SuperRed"
"244","day",4819.387504967,"SuperRed"
"245","day",5077.30965217928,"SuperRed"
"246","day",4826.11174835489,"SuperRed"
"247","day",4542.32344543785,"SuperRed"
"248","day",4372.86151417301,"SuperRed"
"249","day",4280.40021872891,"SuperRed"
"250","day",4571.99588934615,"SuperRed"
"251","day",3917.77385275978,"SuperRed"
"252","day",3220.65883072192,"SuperRed"
"253","day",4191.10139482645,"SuperRed"
"254","day",4046.40278580875,"SuperRed"
"255","day",5153.03028397469,"SuperRed"
"256","day",4010.20007551139,"SuperRed"
"257","day",3521.64188201723,"SuperRed"
"258","day",3167.99486860146,"SuperRed"
"259","day",4539.48989521267,"SuperRed"
"260","day",3897.03643664019,"SuperRed"
"261","day",3995.84885211179,"SuperRed"
"262","day",4266.38029036016,"SuperRed"
"263","day",4275.12236203951,"SuperRed"
"264","day",4214.38245502403,"SuperRed"
"265","day",4751.24604953046,"SuperRed"
"266","day",4241.37617237575,"SuperRed"
"267","day",2805.47208218988,"SuperRed"
"268","day",2779.17897691623,"SuperRed"
"269","day",5117.24880600271,"SuperRed"
"270","day",4334.45001221311,"SuperRed"
"271","day",4746.84676633163,"SuperRed"
"272","day",4372.5581579743,"SuperRed"
"273","day",2837.52071953001,"SuperRed"
"274","day",2780.13425996445,"SuperRed"
"275","day",3217.30338657773,"SuperRed"
"276","day",4977.57538906396,"SuperRed"
"277","day",3207.28891096313,"SuperRed"
"278","day",3343.81161259615,"SuperRed"
"279","day",2500.11279812348,"SuperRed"
"280","day",3033.79528496786,"SuperRed"
"281","day",3148.38247883668,"SuperRed"
"282","day",4110.46312128887,"SuperRed"
"283","day",3258.51005054604,"SuperRed"
"284","day",3320.02506653179,"SuperRed"
"285","day",3824.21583059322,"SuperRed"
"286","night",2805.66517048022,"SuperRed"
"287","night",3303.37915328632,"SuperRed"
"288","night",4217.68827278287,"SuperRed"
"289","night",4129.60451344463,"SuperRed"
"290","night",3878.77737577757,"SuperRed"
"291","night",4586.2870413041,"SuperRed"
"292","night",7175.62772107918,"SuperRed"
"293","night",6091.4037224208,"SuperRed"
"294","night",2661.60518748766,"SuperRed"
"295","night",2741.31337502788,"SuperRed"
"296","night",4592.17851240747,"SuperRed"
"297","night",5272.83275826602,"SuperRed"
"298","night",3979.95421426058,"SuperRed"
"299","night",1453.11399846691,"SuperRed"
"300","night",1405.36265646925,"SuperRed"
"301","night",2400.51092697846,"SuperRed"
"302","night",1097.72895565344,"SuperRed"
"303","night",1492.93676604318,"SuperRed"
"304","night",2223.86553314286,"SuperRed"
"305","night",1019.65965737725,"SuperRed"
"306","night",2195.60066499735,"SuperRed"
"307","night",1194.95824138675,"SuperRed"
"308","night",1279.49615153288,"SuperRed"
"309","night",799.511248024488,"SuperRed"
"310","night",848.08827499627,"SuperRed"
"311","night",5039.78619384376,"SuperRed"
"312","night",1917.67820160543,"SuperRed"
"313","night",1267.05319270276,"SuperRed"
"314","night",2582.93300259179,"SuperRed"
"315","night",2158.75490720509,"SuperRed"
"316","night",1180.26089584235,"SuperRed"
"317","night",1259.94605998216,"SuperRed"
"318","night",1616.26255280289,"SuperRed"
"319","night",653.316849260878,"SuperRed"
"320","night",790.368543671416,"SuperRed"
"321","night",1096.52121234017,"SuperRed"
"322","night",1372.5347853551,"SuperRed"
"323","night",1096.60239847191,"SuperRed"
"324","night",763.52038711292,"SuperRed"
"325","night",790.060131330986,"SuperRed"
"326","night",1407.93297365121,"SuperRed"
"327","night",1084.02279891425,"SuperRed"
"328","night",1041.69010000996,"SuperRed"
"329","night",1003.00704715907,"SuperRed"
"330","night",1323.12255477642,"SuperRed"
"331","night",935.557759801966,"SuperRed"
"332","night",866.440016283455,"SuperRed"
"333","night",1134.47631888483,"SuperRed"
"334","night",1226.6633387745,"SuperRed"
"335","night",1723.37474746327,"SuperRed"
"336","night",1615.41129423927,"SuperRed"
"337","night",1516.19569161431,"SuperRed"
"338","night",1760.26001503012,"SuperRed"
"339","night",1384.62707110119,"SuperRed"
"340","night",1132.39214859452,"SuperRed"
"341","night",902.815617999721,"SuperRed"
"342","night",844.202531837357,"SuperRed"
"343","night",1296.59056919771,"SuperRed"
"344","night",708.455139151373,"SuperRed"
"345","night",1130.11341803539,"SuperRed"
"346","day",1192.00345101394,"SuperRed"
"347","day",1021.51070071186,"SuperRed"
"348","day",3198.88140837265,"SuperRed"
"349","day",3459.17521442186,"SuperRed"
"350","day",2309.401170202,"SuperRed"
"351","day",4040.72428853198,"SuperRed"
"352","day",5970.47570475759,"SuperRed"
"353","day",4973.38448680435,"SuperRed"
"354","day",4423.50812483745,"SuperRed"
"355","day",5104.77329000157,"SuperRed"
"356","day",4324.59094225229,"SuperRed"
"357","day",4300.66621022206,"SuperRed"
"358","day",3408.19479630715,"SuperRed"
"359","day",4183.78981285211,"SuperRed"
"360","day",3037.41629794589,"SuperRed"
"361","day",4220.60939553056,"SuperRed"
"362","day",3232.43207743784,"SuperRed"
"363","day",2962.44426148783,"SuperRed"
"364","day",2176.45407315454,"SuperRed"
"365","day",2973.08638518845,"SuperRed"
"366","day",3149.66465041861,"SuperRed"
"367","day",3771.2468491167,"SuperRed"
"368","day",3001.44611404591,"SuperRed"
"369","day",3274.50340144098,"SuperRed"
"370","day",2818.1988558066,"SuperRed"
"371","day",2719.62046159916,"SuperRed"
"372","day",4242.75360565283,"SuperRed"
"373","day",3588.12721822258,"SuperRed"
"374","day",2787.3093161039,"SuperRed"
"375","day",2840.39353762054,"SuperRed"
"376","day",3176.29820019584,"SuperRed"
"377","day",3202.83456309639,"SuperRed"
"378","day",4775.6791664876,"SuperRed"
"379","day",2949.19596637155,"SuperRed"
"380","day",2847.0981492461,"SuperRed"
"381","day",4029.55458094448,"SuperRed"
"382","day",2544.17688086281,"SuperRed"
"383","day",2787.43866724106,"SuperRed"
"384","day",3576.45992472104,"SuperRed"
"385","day",2669.90155027442,"SuperRed"
"386","day",4565.22294281183,"SuperRed"
"387","day",3299.60660535724,"SuperRed"
"388","day",3056.33521217576,"SuperRed"
"389","day",2744.20932754409,"SuperRed"
"390","day",3445.24642842271,"SuperRed"
"391","day",2893.4563975237,"SuperRed"
"392","day",3763.05311572118,"SuperRed"
"393","day",3258.21694449617,"SuperRed"
"394","day",3058.02462565436,"SuperRed"
"395","day",4119.9945548036,"SuperRed"
"396","day",3116.0876757775,"SuperRed"
"397","day",5185.67965122515,"SuperRed"
"398","day",3758.68029910117,"SuperRed"
"399","day",2830.29159127759,"SuperRed"
"400","day",3368.89218229268,"SuperRed"
"401","day",3570.84910638629,"SuperRed"
"402","day",3371.284861903,"SuperRed"
"403","day",4696.02049436745,"SuperRed"
"404","day",5140.2409542002,"SuperRed"
"405","day",4026.52677670388,"SuperRed"
"406","night",3823.1284272136,"SuperRed"
"407","night",4356.53426092101,"SuperRed"
"408","night",3984.59321800366,"SuperRed"
"409","night",4185.25216083371,"SuperRed"
"410","night",2611.91251671122,"SuperRed"
"411","night",4087.72762412109,"SuperRed"
"412","night",6606.2344704418,"SuperRed"
"413","night",4123.84997509545,"SuperRed"
"414","night",2153.44533334528,"SuperRed"
"415","night",2601.75950939909,"SuperRed"
"416","night",2511.07811556705,"SuperRed"
"417","night",1697.18841796775,"SuperRed"
"418","night",1226.5896255104,"SuperRed"
"419","night",1092.46072630102,"SuperRed"
"420","night",960.594876704614,"SuperRed"
"421","night",809.69743212675,"SuperRed"
"422","night",759.235823911018,"SuperRed"
"423","night",715.888940927573,"SuperRed"
"424","night",1051.29907535926,"SuperRed"
"425","night",1266.39057293029,"SuperRed"
"426","night",1142.86660419985,"SuperRed"
"427","night",1790.69858652553,"SuperRed"
"428","night",904.490527451375,"SuperRed"
"429","night",1765.19258742397,"SuperRed"
"430","night",2169.42605390143,"SuperRed"
"431","night",912.51873451331,"SuperRed"
"432","night",888.93830615943,"SuperRed"
"433","night",2228.21854536487,"SuperRed"
"434","night",2658.00167980344,"SuperRed"
"435","night",1742.45320468358,"SuperRed"
"436","night",2039.97572910469,"SuperRed"
"437","night",1204.62452419926,"SuperRed"
"438","night",1189.01787740632,"SuperRed"
"439","night",1753.6926598475,"SuperRed"
"440","night",1939.88903130177,"SuperRed"
"441","night",1040.98160786023,"SuperRed"
"442","night",1144.70368853858,"SuperRed"
"443","night",909.150387734447,"SuperRed"
"444","night",679.811843639584,"SuperRed"
"445","night",828.6733922494,"SuperRed"
"446","night",1097.74858972878,"SuperRed"
"447","night",836.885070268811,"SuperRed"
"448","night",867.544895759864,"SuperRed"
"449","night",672.549396270283,"SuperRed"
"450","night",716.522077596322,"SuperRed"
"451","night",874.005238652348,"SuperRed"
"452","night",777.880315703359,"SuperRed"
"453","night",707.854849212143,"SuperRed"
"454","night",872.421209977724,"SuperRed"
"455","night",828.747807753077,"SuperRed"
"456","night",630.65206731205,"SuperRed"
"457","night",729.6887123707,"SuperRed"
"458","night",745.226555320906,"SuperRed"
"459","night",806.441777613051,"SuperRed"
"460","night",863.20301560638,"SuperRed"
"461","night",716.539310972881,"SuperRed"
"462","night",1458.6161142602,"SuperRed"
"463","night",1218.44317446782,"SuperRed"
"464","night",2169.99782259615,"SuperRed"
"465","night",1028.98543863777,"SuperRed"
"466","day",1483.53327460281,"SuperRed"
"467","day",2086.10526841708,"SuperRed"
"468","day",1228.22427652372,"SuperRed"
"469","day",1693.67776392759,"SuperRed"
"470","day",1605.56763182254,"SuperRed"
"471","day",3971.0926195064,"SuperRed"
"472","day",3969.20576847534,"SuperRed"
"473","day",4559.59745263348,"SuperRed"
"474","day",3498.87589013224,"SuperRed"
"475","day",2549.42369784889,"SuperRed"
"476","day",2198.96635133602,"SuperRed"
"477","day",3090.31530541242,"SuperRed"
"478","day",2596.7549816932,"SuperRed"
"479","day",2795.4930012643,"SuperRed"
"480","day",2887.3266940074,"SuperRed"
"481","day",7341.38525934667,"BettaSplendensWT"
"482","day",8212.26907085354,"BettaSplendensWT"
"483","day",6401.19829506232,"BettaSplendensWT"
"484","day",6038.69407073766,"BettaSplendensWT"
"485","day",5542.36306578124,"BettaSplendensWT"
"486","day",6409.15344059597,"BettaSplendensWT"
"487","day",5781.0117234976,"BettaSplendensWT"
"488","day",6832.73535520462,"BettaSplendensWT"
"489","day",5133.94304692914,"BettaSplendensWT"
"490","day",5790.26228640519,"BettaSplendensWT"
"491","day",6021.8169931258,"BettaSplendensWT"
"492","day",5865.26214868643,"BettaSplendensWT"
"493","day",4993.56781045226,"BettaSplendensWT"
"494","day",6358.63944530873,"BettaSplendensWT"
"495","day",5659.53625401222,"BettaSplendensWT"
"496","day",6453.11225642039,"BettaSplendensWT"
"497","day",6141.82318159852,"BettaSplendensWT"
"498","day",6382.14605203599,"BettaSplendensWT"
"499","day",6051.05112771945,"BettaSplendensWT"
"500","day",5519.74857709171,"BettaSplendensWT"
"501","day",6610.27312431564,"BettaSplendensWT"
"502","day",4475.18737441194,"BettaSplendensWT"
"503","day",5666.9561520873,"BettaSplendensWT"
"504","day",6147.17136099877,"BettaSplendensWT"
"505","day",5828.90181141576,"BettaSplendensWT"
"506","day",5491.65317525065,"BettaSplendensWT"
"507","day",5534.01714415175,"BettaSplendensWT"
"508","day",6208.59118356387,"BettaSplendensWT"
"509","day",6150.62315820574,"BettaSplendensWT"
"510","day",5587.52195685896,"BettaSplendensWT"
"511","day",6091.93031786725,"BettaSplendensWT"
"512","day",6184.45639919781,"BettaSplendensWT"
"513","day",4660.30910637802,"BettaSplendensWT"
"514","day",5629.71893307171,"BettaSplendensWT"
"515","day",5604.57469819579,"BettaSplendensWT"
"516","day",5090.65928811181,"BettaSplendensWT"
"517","day",4483.82199374104,"BettaSplendensWT"
"518","day",6359.93033353336,"BettaSplendensWT"
"519","day",4937.69980839826,"BettaSplendensWT"
"520","day",4874.57824014218,"BettaSplendensWT"
"521","day",5038.19594042318,"BettaSplendensWT"
"522","day",5137.59687960622,"BettaSplendensWT"
"523","day",5977.96142898645,"BettaSplendensWT"
"524","day",5132.98953770947,"BettaSplendensWT"
"525","day",4978.59949940198,"BettaSplendensWT"
"526","night",6092.85937227094,"BettaSplendensWT"
"527","night",4441.50407691284,"BettaSplendensWT"
"528","night",7016.79155402594,"BettaSplendensWT"
"529","night",7653.32000346357,"BettaSplendensWT"
"530","night",4689.27242771078,"BettaSplendensWT"
"531","night",7001.36004567699,"BettaSplendensWT"
"532","night",12632.8199218834,"BettaSplendensWT"
"533","night",6308.78308587315,"BettaSplendensWT"
"534","night",3560.79902507776,"BettaSplendensWT"
"535","night",1752.68031634779,"BettaSplendensWT"
"536","night",2585.33411814741,"BettaSplendensWT"
"537","night",2773.89609989795,"BettaSplendensWT"
"538","night",2118.6664589862,"BettaSplendensWT"
"539","night",2496.31525764817,"BettaSplendensWT"
"540","night",3335.74066064194,"BettaSplendensWT"
"541","night",2866.05118155487,"BettaSplendensWT"
"542","night",2441.58091320501,"BettaSplendensWT"
"543","night",2506.97802013265,"BettaSplendensWT"
"544","night",2308.21713601897,"BettaSplendensWT"
"545","night",1294.76973780566,"BettaSplendensWT"
"546","night",1964.84447567879,"BettaSplendensWT"
"547","night",2394.39373846206,"BettaSplendensWT"
"548","night",2488.67594670525,"BettaSplendensWT"
"549","night",3092.80364578944,"BettaSplendensWT"
"550","night",1924.02014701544,"BettaSplendensWT"
"551","night",1869.59276635399,"BettaSplendensWT"
"552","night",1915.02501164421,"BettaSplendensWT"
"553","night",1485.91002773168,"BettaSplendensWT"
"554","night",930.817898464056,"BettaSplendensWT"
"555","night",1789.89909866637,"BettaSplendensWT"
"556","night",1931.15025626143,"BettaSplendensWT"
"557","night",1780.28238802326,"BettaSplendensWT"
"558","night",3055.36980088252,"BettaSplendensWT"
"559","night",1262.15000736685,"BettaSplendensWT"
"560","night",791.278652413206,"BettaSplendensWT"
"561","night",1446.48039375024,"BettaSplendensWT"
"562","night",1502.32937608591,"BettaSplendensWT"
"563","night",1003.23150116514,"BettaSplendensWT"
"564","night",1427.53579725346,"BettaSplendensWT"
"565","night",1335.53726096767,"BettaSplendensWT"
"566","night",1798.87524066132,"BettaSplendensWT"
"567","night",1177.04186482747,"BettaSplendensWT"
"568","night",1589.02725789859,"BettaSplendensWT"
"569","night",1198.35777287199,"BettaSplendensWT"
"570","night",987.607148355516,"BettaSplendensWT"
"571","night",1153.99595939267,"BettaSplendensWT"
"572","night",1562.42648620738,"BettaSplendensWT"
"573","night",1531.60701940224,"BettaSplendensWT"
"574","night",1840.40388311863,"BettaSplendensWT"
"575","night",2395.73866736867,"BettaSplendensWT"
"576","night",3879.39014719023,"BettaSplendensWT"
"577","night",1847.17771083379,"BettaSplendensWT"
"578","night",1629.47352348729,"BettaSplendensWT"
"579","night",1596.57346884034,"BettaSplendensWT"
"580","night",1513.10860836187,"BettaSplendensWT"
"581","night",1604.58727519519,"BettaSplendensWT"
"582","night",2594.05339726745,"BettaSplendensWT"
"583","night",3101.66985763103,"BettaSplendensWT"
"584","night",3164.07196379794,"BettaSplendensWT"
"585","night",2487.11733643119,"BettaSplendensWT"
"586","day",2656.16288117864,"BettaSplendensWT"
"587","day",3906.76073193241,"BettaSplendensWT"
"588","day",4696.3931446553,"BettaSplendensWT"
"589","day",4501.23108612063,"BettaSplendensWT"
"590","day",3879.73521559178,"BettaSplendensWT"
"591","day",6883.07601853474,"BettaSplendensWT"
"592","day",9262.11851632083,"BettaSplendensWT"
"593","day",6642.55882128272,"BettaSplendensWT"
"594","day",6495.41833025582,"BettaSplendensWT"
"595","day",5692.32612426808,"BettaSplendensWT"
"596","day",4677.06267224746,"BettaSplendensWT"
"597","day",5576.92408053044,"BettaSplendensWT"
"598","day",4984.63254901022,"BettaSplendensWT"
"599","day",6026.84142148742,"BettaSplendensWT"
"600","day",4353.53597946493,"BettaSplendensWT"
"601","day",4499.20820248522,"BettaSplendensWT"
"602","day",4577.71009129554,"BettaSplendensWT"
"603","day",4187.98550654248,"BettaSplendensWT"
"604","day",4739.31820669445,"BettaSplendensWT"
"605","day",4634.41417705886,"BettaSplendensWT"
"606","day",4237.601417054,"BettaSplendensWT"
"607","day",6283.15116008452,"BettaSplendensWT"
"608","day",5384.34677256243,"BettaSplendensWT"
"609","day",5976.23161721202,"BettaSplendensWT"
"610","day",4969.92876572957,"BettaSplendensWT"
"611","day",3947.72408843135,"BettaSplendensWT"
"612","day",4766.61691777125,"BettaSplendensWT"
"613","day",4865.93847654871,"BettaSplendensWT"
"614","day",4694.32898187431,"BettaSplendensWT"
"615","day",5767.64495135278,"BettaSplendensWT"
"616","day",5821.72067524298,"BettaSplendensWT"
"617","day",6397.56947586335,"BettaSplendensWT"
"618","day",5137.24749619909,"BettaSplendensWT"
