"","time","movement","strain"
"1","day",8317.72305784219,"YellowPlakat"
"2","day",6941.62762921334,"YellowPlakat"
"3","day",7164.79249472298,"YellowPlakat"
"4","day",6195.25008084789,"YellowPlakat"
"5","day",5858.90024190272,"YellowPlakat"
"6","day",6099.6798225095,"YellowPlakat"
"7","day",6451.44933874752,"YellowPlakat"
"8","day",4203.2590751259,"YellowPlakat"
"9","day",5325.93005921112,"YellowPlakat"
"10","day",5191.38989860071,"YellowPlakat"
"11","day",4862.19221743714,"YellowPlakat"
"12","day",4555.64204619631,"YellowPlakat"
"13","day",5755.30733982907,"YellowPlakat"
"14","day",6281.00729495708,"YellowPlakat"
"15","day",5524.89061058487,"YellowPlakat"
"16","day",4552.65352292758,"YellowPlakat"
"17","day",5170.05141075625,"YellowPlakat"
"18","day",5115.06409828216,"YellowPlakat"
"19","day",7114.86885854252,"YellowPlakat"
"20","day",5970.92112018644,"YellowPlakat"
"21","day",4608.99768234882,"YellowPlakat"
"22","day",5649.54090205256,"YellowPlakat"
"23","day",4479.63770229315,"YellowPlakat"
"24","day",4472.73934621486,"YellowPlakat"
"25","day",6902.25500401018,"YellowPlakat"
"26","day",5812.97906452967,"YellowPlakat"
"27","day",4409.79530349331,"YellowPlakat"
"28","day",5483.31876422643,"YellowPlakat"
"29","day",5028.79519107469,"YellowPlakat"
"30","day",5336.7215238378,"YellowPlakat"
"31","day",4840.54002487416,"YellowPlakat"
"32","day",6093.86705677016,"YellowPlakat"
"33","day",6224.32886831575,"YellowPlakat"
"34","day",4915.45355993535,"YellowPlakat"
"35","day",5055.93958893116,"YellowPlakat"
"36","day",5342.58355275868,"YellowPlakat"
"37","day",5829.29597694263,"YellowPlakat"
"38","day",6878.23872778239,"YellowPlakat"
"39","day",6234.77367375724,"YellowPlakat"
"40","day",4917.036452628,"YellowPlakat"
"41","day",5458.53732350426,"YellowPlakat"
"42","day",4624.91617692532,"YellowPlakat"
"43","day",4369.59156644225,"YellowPlakat"
"44","day",5782.62279648148,"YellowPlakat"
"45","day",5252.80505296967,"YellowPlakat"
"46","night",5256.7971383864,"YellowPlakat"
"47","night",5703.9333152779,"YellowPlakat"
"48","night",5488.00316572189,"YellowPlakat"
"49","night",6057.80925791914,"YellowPlakat"
"50","night",4961.53559010988,"YellowPlakat"
"51","night",5866.70274200436,"YellowPlakat"
"52","night",8182.01099278404,"YellowPlakat"
"53","night",6060.35374745528,"YellowPlakat"
"54","night",4059.39966983087,"YellowPlakat"
"55","night",3467.44945873106,"YellowPlakat"
"56","night",3305.49670241729,"YellowPlakat"
"57","night",2871.16156788624,"YellowPlakat"
"58","night",2604.63777542133,"YellowPlakat"
"59","night",2305.09778181108,"YellowPlakat"
"60","night",2248.20765041665,"YellowPlakat"
"61","night",2077.30823216968,"YellowPlakat"
"62","night",1883.4902399247,"YellowPlakat"
"63","night",2503.28217344266,"YellowPlakat"
"64","night",1811.85677234884,"YellowPlakat"
"65","night",1667.94397031163,"YellowPlakat"
"66","night",2157.8747674304,"YellowPlakat"
"67","night",1474.42953951861,"YellowPlakat"
"68","night",2427.7929927817,"YellowPlakat"
"69","night",2749.12523838929,"YellowPlakat"
"70","night",2502.98711201688,"YellowPlakat"
"71","night",1491.76947550769,"YellowPlakat"
"72","night",1966.18032433696,"YellowPlakat"
"73","night",1649.9516326696,"YellowPlakat"
"74","night",1585.77306392118,"YellowPlakat"
"75","night",1274.99520765468,"YellowPlakat"
"76","night",1419.87436936702,"YellowPlakat"
"77","night",1822.93149037173,"YellowPlakat"
"78","night",1410.63462048717,"YellowPlakat"
"79","night",1706.90194227833,"YellowPlakat"
"80","night",2183.64955710261,"YellowPlakat"
"81","night",1743.04393250679,"YellowPlakat"
"82","night",1651.90562597564,"YellowPlakat"
"83","night",1381.39030326886,"YellowPlakat"
"84","night",1343.63704121778,"YellowPlakat"
"85","night",1657.33088060608,"YellowPlakat"
"86","night",1987.96120758663,"YellowPlakat"
"87","night",1560.83766492599,"YellowPlakat"
"88","night",1425.93609934881,"YellowPlakat"
"89","night",948.562927696917,"YellowPlakat"
"90","night",1099.02129581349,"YellowPlakat"
"91","night",1120.5659363185,"YellowPlakat"
"92","night",1277.69464680088,"YellowPlakat"
"93","night",1664.17576447951,"YellowPlakat"
"94","night",958.099179793468,"YellowPlakat"
"95","night",1434.55644438647,"YellowPlakat"
"96","night",1008.49563773052,"YellowPlakat"
"97","night",5053.33311074947,"YellowPlakat"
"98","night",1538.00615576658,"YellowPlakat"
"99","night",1892.35830600156,"YellowPlakat"
"100","night",2456.61101831974,"YellowPlakat"
"101","night",2106.41485378006,"YellowPlakat"
"102","night",2386.33315073002,"YellowPlakat"
"103","night",2645.88521587255,"YellowPlakat"
"104","night",3428.64442537099,"YellowPlakat"
"105","night",3538.92113817485,"YellowPlakat"
"106","day",4516.67121925795,"YellowPlakat"
"107","day",5066.38765440981,"YellowPlakat"
"108","day",5078.97874290988,"YellowPlakat"
"109","day",4802.94481859297,"YellowPlakat"
"110","day",4951.36614831784,"YellowPlakat"
"111","day",7193.63460336199,"YellowPlakat"
"112","day",10688.0258047763,"YellowPlakat"
"113","day",9634.10157867634,"YellowPlakat"
"114","day",9535.39829020268,"YellowPlakat"
"115","day",6926.10504330532,"YellowPlakat"
"116","day",6732.99402789335,"YellowPlakat"
"117","day",6253.80378068364,"YellowPlakat"
"118","day",5345.85135476248,"YellowPlakat"
"119","day",6211.07767231645,"YellowPlakat"
"120","day",5069.12233051904,"YellowPlakat"
"121","day",5019.52423296566,"YellowPlakat"
"122","day",5028.26287183159,"YellowPlakat"
"123","day",5011.77076639857,"YellowPlakat"
"124","day",4371.97021327088,"YellowPlakat"
"125","day",4878.22490124757,"YellowPlakat"
"126","day",4976.42693464996,"YellowPlakat"
"127","day",4186.50429887578,"YellowPlakat"
"128","day",3996.27385572041,"YellowPlakat"
"129","day",4331.54799554169,"YellowPlakat"
"130","day",4760.79499940059,"YellowPlakat"
"131","day",4539.53755139097,"YellowPlakat"
"132","day",4827.02296711435,"YellowPlakat"
"133","day",4596.95088007,"YellowPlakat"
"134","day",4048.00367840146,"YellowPlakat"
"135","day",4508.75101959248,"YellowPlakat"
"136","day",4361.97504491348,"YellowPlakat"
"137","day",3950.63749349843,"YellowPlakat"
"138","day",3811.59038753349,"YellowPlakat"
"139","day",5061.92099624844,"YellowPlakat"
"140","day",4733.39019013004,"YellowPlakat"
"141","day",3886.18841605227,"YellowPlakat"
"142","day",3214.41812145055,"YellowPlakat"
"143","day",4958.89759245353,"YellowPlakat"
"144","day",3719.70175390859,"YellowPlakat"
"145","day",3784.61576130475,"YellowPlakat"
"146","day",4056.49987419236,"YellowPlakat"
"147","day",4030.73855551046,"YellowPlakat"
"148","day",3900.52723100253,"YellowPlakat"
"149","day",3449.76239145373,"YellowPlakat"
"150","day",4416.04399429186,"YellowPlakat"
"151","day",3465.29689261862,"YellowPlakat"
"152","day",2931.47567110584,"YellowPlakat"
"153","day",4237.99167633211,"YellowPlakat"
"154","day",2982.07939150198,"YellowPlakat"
"155","day",3596.13082027981,"YellowPlakat"
"156","day",3785.79942752265,"YellowPlakat"
"157","day",3821.80678999816,"YellowPlakat"
"158","day",4332.4374757534,"YellowPlakat"
"159","day",3965.49381856749,"YellowPlakat"
"160","day",3532.34145966481,"YellowPlakat"
"161","day",4517.31988906559,"YellowPlakat"
"162","day",4752.62198988104,"YellowPlakat"
"163","day",4430.90016700236,"YellowPlakat"
"164","day",4891.46735089307,"YellowPlakat"
"165","day",4957.33821809727,"YellowPlakat"
"166","night",5043.88230295936,"YellowPlakat"
"167","night",4891.46430130528,"YellowPlakat"
"168","night",5206.19949613934,"YellowPlakat"
"169","night",5854.95175460529,"YellowPlakat"
"170","night",5805.59844261197,"YellowPlakat"
"171","night",5326.15066024502,"YellowPlakat"
"172","night",7448.78636744821,"YellowPlakat"
"173","night",3962.05158838568,"YellowPlakat"
"174","night",1897.38234602143,"YellowPlakat"
"175","night",1853.46173423378,"YellowPlakat"
